SIGNALS	SIGNAL_COUNT	ONCODRIVE_ROLE	GENE	SYMBOL	MUTS_CS_SAMPLES	MUTS_PAM_SAMPLES	MUTS_CS	DRIVER_LABEL	MUTS_PAM	POOL_SIGNALS	KNOWN_DRIVER
CFR	3	0.006999999999999999	ENSG00000141510	TP53	2227	2187	2394	perProject_driver	2336	CFR	True
CFR	3	0.9990000000000001	ENSG00000121879	PIK3CA	789	747	876	perProject_driver	826	CFR	True
CFR	3	0.9995	ENSG00000133703	KRAS	544	533	555	perProject_driver	539	CFR	True
CFR	3	0.01	ENSG00000171862	PTEN	452	440	553	perProject_driver	530	CFR	True
CFR	3	0.9995	ENSG00000157764	BRAF	498	472	519	perProject_driver	482	CFR	True
CFR	3	0.0005	ENSG00000134982	APC	367	336	458	perProject_driver	421	FR	True
CFR	3	0.0	ENSG00000196712	NF1	354	286	433	perProject_driver	346	FR	True
CFR	3	0.7335	ENSG00000117114	LPHN2	210	132	259	perProject_driver	140	F	
CFR	3	0.0315	ENSG00000147889	CDKN2A	246	235	256	perProject_driver	243	CFR	True
CFR	3	0.0215	ENSG00000145675	PIK3R1	205	150	238	perProject_driver	170	FR	True
CFR	3	0.9965	ENSG00000213281	NRAS	234	209	235	perProject_driver	210	CFR	True
CFR	3	0.995	ENSG00000138413	IDH1	225	217	227	perProject_driver	217	CFR	True
CFR	3	0.982	ENSG00000168036	CTNNB1	199	184	209	perProject_driver	193	FR	True
CFR	3	0.008	ENSG00000141027	NCOR1	179	132	189	perProject_driver	140	F	
CFR	3	0.0335	ENSG00000109670	FBXW7	156	143	171	perProject_driver	155	CFR	True
CF	2	0.995	ENSG00000065361	ERBB3	129	102	137	perProject_driver	106		
CFR	3	0.9520000000000001	ENSG00000122025	FLT3	163	111	171	perProject_driver	116	R	True
CFR	3	0.016	ENSG00000141646	SMAD4	149	128	156	perProject_driver	134	FR	True
CFR	3	0.9435	ENSG00000115524	SF3B1	144	121	148	perProject_driver	125	F	True
CFR	3	0.1995	ENSG00000119772	DNMT3A	134	115	143	perProject_driver	123	CFR	True
CFR	3	0.079	ENSG00000079432	CIC	129	99	138	perProject_driver	104	FR	True
CFR	3	0.9965	ENSG00000066468	FGFR2	120	91	130	perProject_driver	97	F	True
CFR	3	0.0015	ENSG00000159216	RUNX1	103	63	117	perProject_driver	69	FR	True
CFR	3	0.985	ENSG00000116044	NFE2L2	107	93	111	perProject_driver	97	FR	True
CFR	3	0.011000000000000001	ENSG00000064012	CASP8	97	79	99	perProject_driver	80	FR	
CFR	3	0.895	ENSG00000105568	PPP2R1A	70	54	72	perProject_driver	54	F	True
CFR	3	0.6705	ENSG00000121067	SPOP	64	55	67	perProject_driver	57	CF	
CFR	3	0.9945	ENSG00000142208	AKT1	65	52	65	perProject_driver	52	CF	True
CFR	3	0.922	ENSG00000174775	HRAS	54	48	56	perProject_driver	49	CFR	True
CFR	3	0.9945	ENSG00000182054	IDH2	44	39	44	perProject_driver	39	CF	True
CFR	3	0.147	ENSG00000119414	PPP6C	39	33	41	perProject_driver	34	CF	
CFR	3	0.8875	ENSG00000136238	RAC1	38	28	39	perProject_driver	29	CF	
CFR	3	0.9329999999999999	ENSG00000160201	U2AF1	35	25	36	perProject_driver	25	CF	True
FR	2	0.018000000000000002	ENSG00000055609	MLL3	451	391	525	perProject_driver	447	FR	True
FR	2	0.0115	ENSG00000167548	MLL2	362	300	422	perProject_driver	340	FR	True
FR	2	0.0005	ENSG00000117713	ARID1A	321	290	364	perProject_driver	324	FR	True
FR	2	0.069	ENSG00000101972	STAG2	269	97	302	perProject_driver	100	FR	
FR	2	0.0015	ENSG00000085224	ATRX	253	209	275	perProject_driver	229	FR	True
F	2	0.0	ENSG00000149311	ATM	237	207	269	perProject_driver	233	FR	True
FR	2	0.0025	ENSG00000163939	PBRM1	256	221	267	perProject_driver	231	FR	True
FR	2	0.0105	ENSG00000134086	VHL	238	227	258	perProject_driver	241	FR	True
FR	2	0.0005	ENSG00000139687	RB1	230	192	245	perProject_driver	206	FR	True
FR	2	0.0575	ENSG00000148400	NOTCH1	214	165	234	perProject_driver	178	F	True
CF	2	0.043	ENSG00000005339	CREBBP	205	162	220	perProject_driver	169	F	True
